期号,日期,平一,生肖1,平二,生肖2,平三,生肖3,平四,生肖4,平五,生肖5,平六,生肖6,特码,特码生肖
058,2026-05-30,39,龙,40,兔,21,狗,1,马,12,羊,41,虎,42,牛
057,2026-05-28,35,猴,7,鼠,13,马,40,兔,25,马,43,鼠,47,猴
056,2026-05-26,32,猪,34,鸡,10,鸡,47,猴,18,牛,11,猴,33,狗
055,2026-05-25,20,猪,7,鼠,2,蛇,42,牛,49,马,47,猴,8,猪
054,2026-05-21,7,鼠,13,马,15,龙,5,虎,31,鼠,27,龙,16,兔
053,2026-05-19,2,蛇,21,狗,27,龙,1,马,20,猪,4,兔,19,鼠
052,2026-05-16,25,马,43,鼠,41,虎,28,兔,11,猴,36,羊,22,鸡
051,2026-05-14,47,猴,27,龙,23,猴,34,鸡,30,牛,45,狗,28,兔
050,2026-05-12,4,兔,22,鸡,16,兔,47,猴,25,马,19,鼠,40,兔
049,2026-05-10,17,虎,41,虎,26,蛇,47,猴,9,狗,42,牛,8,猪
048,2026-05-07,23,猴,34,鸡,28,兔,20,猪,14,蛇,6,牛,49,马
047,2026-05-05,47,猴,10,鸡,7,鼠,2,蛇,18,牛,8,猪,4,兔
046,2026-05-02,8,猪,28,兔,48,羊,30,牛,3,龙,2,蛇,9,狗
045,2026-04-25,21,狗,42,牛,46,鸡,36,羊,4,兔,16,兔,9,狗
044,2026-04-23,12,羊,38,蛇,45,狗,23,猴,48,羊,37,马,8,猪
043,2026-04-21,4,兔,11,猴,44,猪,10,鸡,2,蛇,26,蛇,40,兔
042,2026-04-18,17,虎,39,龙,20,猪,46,鸡,27,龙,32,猪,34,鸡
041,2026-04-16,6,牛,28,兔,44,猪,46,鸡,14,蛇,12,羊,15,龙
040,2026-04-14,19,鼠,44,猪,8,猪,46,鸡,33,狗,22,鸡,18,牛
039,2026-04-11,14,蛇,42,牛,40,兔,11,猴,17,虎,28,兔,2,蛇
038,2026-04-09,24,羊,43,鼠,45,狗,44,猪,13,马,16,兔,40,兔
037,2026-04-07,33,狗,23,猴,25,马,34,鸡,29,虎,8,猪,49,马
036,2026-04-04,32,猪,45,狗,40,兔,20,猪,35,猴,28,兔,43,鼠
035,2026-03-31,20,猪,32,猪,28,兔,9,狗,19,鼠,18,牛,44,猪
034,2026-03-28,42,牛,26,蛇,27,龙,11,猴,21,狗,45,狗,19,鼠
033,2026-03-26,27,龙,12,羊,23,猴,28,兔,37,马,17,虎,3,龙
032,2026-03-24,26,蛇,6,牛,22,鸡,44,猪,49,马,9,狗,7,鼠
031,2026-03-21,9,狗,47,猴,18,牛,11,猴,5,虎,23,猴,24,羊
030,2026-03-19,6,牛,8,猪,45,狗,2,蛇,41,虎,33,狗,48,羊
029,2026-03-17,22,鸡,18,牛,45,狗,16,兔,28,兔,49,马,13,马
028,2026-03-12,7,鼠,14,蛇,26,蛇,13,马,16,兔,30,牛,34,鸡
027,2026-03-10,34,鸡,16,兔,25,马,2,蛇,35,猴,37,马,49,马
026,2026-03-07,18,牛,12,羊,22,鸡,28,兔,15,龙,37,马,31,鼠
025,2026-03-05,4,兔,31,鼠,24,羊,18,牛,46,鸡,42,牛,11,猴
024,2026-03-03,20,猪,32,猪,31,鼠,44,猪,13,马,6,牛,45,狗
023,2026-02-28,47,猴,37,马,15,龙,46,鸡,39,龙,5,虎,29,虎
022,2026-02-26,6,牛,19,鼠,38,蛇,15,龙,42,牛,13,马,34,鸡
021,2026-02-24,10,鸡,4,兔,3,龙,2,蛇,23,猴,13,马,12,羊
020,2026-02-21,34,鸡,18,牛,35,猴,37,马,49,马,2,蛇,33,狗
019,2026-02-15,8,狗,28,虎,46,猴,37,蛇,36,马,33,鸡,4,虎
018,2026-02-12,3,兔,46,猴,37,蛇,25,蛇,2,龙,14,龙,10,猴
017,2026-02-10,39,兔,4,虎,26,龙,3,兔,18,鼠,14,龙,40,虎
016,2026-02-07,32,狗,12,马,37,蛇,22,猴,44,狗,28,虎,20,狗
015,2026-02-05,35,羊,24,马,36,马,9,鸡,1,蛇,17,牛,42,鼠
014,2026-02-03,42,鼠,39,兔,23,羊,27,兔,12,马,37,蛇,5,牛
013,2026-01-31,30,鼠,35,羊,32,狗,36,马,25,蛇,47,羊,46,猴
012,2026-01-29,14,龙,44,狗,9,鸡,6,鼠,35,羊,12,马,11,羊
011,2026-01-27,38,龙,47,羊,25,蛇,12,马,14,龙,7,猪,15,兔
010,2026-01-24,16,虎,17,牛,48,马,22,猴,28,虎,6,鼠,45,鸡
009,2026-01-22,31,猪,4,虎,24,马,27,兔,15,兔,9,鸡,45,鸡
008,2026-01-20,6,鼠,46,猴,44,狗,9,鸡,1,蛇,4,虎,27,兔
007,2026-01-17,27,兔,12,马,42,鼠,5,牛,23,羊,15,兔,46,猴
006,2026-01-15,44,狗,6,鼠,37,蛇,3,兔,38,龙,39,兔,48,马
005,2026-01-13,38,龙,48,马,14,龙,49,蛇,24,马,34,猴,27,兔
004,2026-01-10,37,蛇,20,狗,22,猴,24,马,16,虎,3,兔,42,鼠
003,2026-01-08,45,鸡,15,兔,46,猴,21,鸡,24,马,40,虎,13,蛇
002,2026-01-06,12,马,2,龙,8,狗,19,猪,28,虎,36,马,1,蛇
001,2026-01-03,20,狗,16,虎,2,龙,21,鸡,13,蛇,10,猴,14,龙
